simulation_index,reproduction_minimum,newborn_energy,transferred_energy,amount_of_iterations,immunological_time_span,bite_transfer,mahalanobis,immunological_maturity,good_agent_energy,evaluation_method,fitness_calls,iemas_fitness,time_elapsed
132,80,110,50,20,23,10,1.4,19,110,schwefel,69,11353.6760399,1070
687,80,110,50,20,23,20,1.4,15,110,rastrigin,65,87.253598461,1090
971,80,110,50,20,26,20,1.2,19,110,rastrigin,64,86.0664084555,1030
461,80,110,50,20,20,15,1.2,15,110,schwefel,105,10624.4679525,1240
364,80,110,50,20,20,10,1.2,19,110,rastrigin,65,83.2086135385,1050
987,80,110,50,20,20,10,1.4,19,110,schwefel,70,11087.365841,1170
75,80,110,50,20,20,10,1.2,17,110,rastrigin,60,79.2283873889,960
470,80,110,50,20,20,10,1.2,15,110,rastrigin,62,82.6048880944,1050
881,80,110,50,20,26,10,1.2,17,110,schwefel,138,10840.8557173,1270
783,80,110,50,20,26,15,1.4,17,110,schwefel,75,10962.3112787,1130
896,80,110,50,20,20,15,1.4,19,110,rastrigin,68,82.1494058459,1070
640,80,110,50,20,20,20,1.4,15,110,rastrigin,58,76.4806072015,1000
667,80,110,50,20,26,15,1.2,15,110,schwefel,137,11079.4167134,1250
152,80,110,50,20,20,15,1.4,19,110,schwefel,70,11549.6596353,1120
189,80,110,50,20,20,20,1.4,15,110,schwefel,67,11437.7365802,960
373,80,110,50,20,26,10,1.4,19,110,schwefel,69,11570.7867689,1110
717,80,110,50,20,20,15,1.2,19,110,rastrigin,67,86.9021512271,1020
231,80,110,50,20,23,20,1.4,17,110,rastrigin,62,77.3985641997,970
652,80,110,50,20,23,15,1.2,17,110,schwefel,130,11416.3083002,1310
87,80,110,50,20,23,20,1.2,19,110,rastrigin,60,75.2664272067,960
62,80,110,50,20,20,20,1.2,19,110,schwefel,110,10759.4444502,1270
430,80,110,50,20,20,15,1.4,17,110,schwefel,63,11719.5525741,1050
851,80,110,50,20,26,10,1.4,17,110,rastrigin,65,84.7813067788,1060
406,80,110,50,20,26,20,1.2,15,110,rastrigin,84,99.9299335629,1050
958,80,110,50,20,26,15,1.4,19,110,rastrigin,59,76.5106095177,1040
397,80,110,50,20,23,10,1.2,15,110,rastrigin,68,86.9783760419,980
23,80,110,50,20,20,10,1.4,17,110,rastrigin,57,77.3238421223,1000
199,80,110,50,20,23,15,1.2,19,110,rastrigin,59,80.3377972923,990
305,80,110,50,20,23,10,1.2,17,110,schwefel,119,10738.9000221,1280
986,80,110,50,20,26,15,1.2,17,110,rastrigin,64,86.5311746857,1040
180,80,110,50,20,20,15,1.4,15,110,schwefel,66,11143.3438007,1070
439,80,110,50,20,23,20,1.2,19,110,schwefel,126,11072.1000353,1240
734,80,110,50,20,23,10,1.2,15,110,schwefel,118,10880.3387095,1260
331,80,110,50,20,20,10,1.4,15,110,rastrigin,60,80.377406956,940
819,80,110,50,20,20,15,1.2,17,110,schwefel,109,11197.0400938,1230
816,80,110,50,20,20,15,1.4,15,110,rastrigin,61,80.8065556123,990
902,80,110,50,20,23,10,1.4,17,110,rastrigin,63,80.773458784,1040
965,80,110,50,20,23,15,1.4,15,110,rastrigin,61,90.9599455821,980
595,80,110,50,20,26,20,1.4,19,110,rastrigin,60,83.994380356,1050
765,80,110,50,20,20,20,1.2,15,110,rastrigin,59,78.1603493081,960
